"SpawnBio_om","Recruit_0_om","F_om","SpawnBio_em","Recruit_0_em","F_em","scenario","replicate","A","B","D","E","F","L","species","year"
1290880000,149084000,0.121067,1329130000,162423000,0.118672,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",67
1306910000,69611200,0.121067,1315580000,75305400,0.121531,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",68
1345500000,88126200,0.121067,1328030000,97508700,0.123023,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",69
1382270000,58385000,0.121067,1352810000,53176600,0.123798,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",70
1385740000,98072200,0.121067,1354090000,92916600,0.123546,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",71
1363470000,86042500,0.121067,1334540000,77417900,0.123608,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",72
1322520000,121859000,0.121067,1292690000,118137000,0.123914,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",73
1286310000,121157000,0.121067,1250450000,117828000,0.124939,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",74
1262890000,110927000,0.121067,1216470000,112696000,0.126054,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",75
1.267e+09,192698000,0.121067,1208800000,200876000,0.127232,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",76
1287150000,75872900,0.121067,1218330000,75659200,0.127944,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",77
1336610000,55675700,0.121067,1263220000,64747800,0.127515,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",78
1403530000,52868000,0.121067,1329710000,56695300,0.127542,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",79
1419980000,121428000,0.121067,1348810000,124819000,0.126996,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",80
1388270000,47482200,0.121067,1325530000,55199900,0.126293,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",81
1341970000,152680000,0.121067,1289530000,149334000,0.125297,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",82
1298410000,109899000,0.121067,1257360000,114998000,0.124305,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",83
1261470000,67848100,0.121067,1231440000,63471800,0.123403,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",84
1266810000,48533200,0.121067,1243280000,46670900,0.12283,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",85
1270440000,78278700,0.121067,1250760000,85392600,0.122883,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",86
1247860000,76797600,0.121067,1226870000,74181300,0.12319,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",87
1.206e+09,61047200,0.121067,1184420000,63367500,0.123008,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",88
1164780000,99738800,0.121067,1144510000,104018000,0.123122,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",89
1122290000,165382000,0.121067,1101880000,164662000,0.123134,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",90
1087570000,87147600,0.121067,1069120000,82377100,0.122719,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",91
1097410000,68700400,0.121067,1081500000,73878400,0.122462,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",92
1143910000,86130800,0.121067,1126210000,89811600,0.123023,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",93
1173260000,54184700,0.121067,1152050000,57389500,0.123162,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",94
1183480000,88237000,0.121067,1162270000,84288800,0.12301,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",95
1174970000,88356000,0.121067,1155800000,95352800,0.1228,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",96
1149810000,96750700,0.121067,1132410000,97325800,0.122787,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",97
1130720000,105542000,0.121067,1114320000,107242000,0.122439,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",98
1121020000,173252000,0.121067,1107890000,198137000,0.122159,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",99
1126140000,111748000,0.121067,1115160000,101306000,0.121817,"A31-B0-D30-E100-F0-L31-cod",1,"A31","B0","D30","E100","F0","L31","cod",100
